x,y
0.740791,0.221252
0.86452,0.0707608
0.191212,0.767882
0.722198,0.581788
0.215788,0.322703
0.92079,0.812565
0.458555,0.49818
0.402837,0.629216
0.893349,0.91542
0.743749,0.606796
0.203405,0.488536
0.429166,0.471205
0.499281,0.0072339
0.989319,0.42354
0.937111,0.910662
0.574153,0.677902
0.131914,0.438673
0.748662,0.323126
0.206555,0.470861
0.904915,0.422343
0.793564,0.825705
0.234908,0.252118
0.323885,0.637745
0.881335,0.217234
0.553165,0.625083
0.824029,0.756571
0.113619,0.253195
0.227776,0.6129
0.260429,0.217095
0.0364404,0.19754
0.127757,0.610594
0.875442,0.259671
0.0492669,0.624104
0.582797,0.255822
0.0949649,0.487712
0.678165,0.888529
0.313417,0.913073
0.140647,0.637302
0.550817,0.0219817
0.854535,0.103983
0.647065,0.678564
0.860553,0.760684
0.931759,0.0883292
0.373584,0.192188
0.305424,0.410024
0.389728,0.43318
0.0206182,0.26517
0.692851,0.0698851
0.889274,0.275648
0.325707,0.984239
0.76336,0.00387215
0.872767,0.0767761
0.916945,0.0134144
0.714078,0.467762
0.0353961,0.568613
0.571745,0.682461
0.247177,0.432298
0.443145,0.178936
0.520627,0.816729
0.371124,0.826051
0.226753,0.760852
0.259232,0.247371
0.026022,0.952083
0.317256,0.915296
0.22773,0.642964
0.899534,0.99109
0.646836,0.772302
0.0678661,0.563781
0.785716,0.781944
0.031543,0.821112
0.350556,0.603288
0.503573,0.597733
0.0355861,0.946718
0.776669,0.556213
0.763446,0.147793
0.382265,0.9902
0.908646,0.641496
0.237571,0.934668
0.593579,0.554827
0.849963,0.821309
0.197791,0.749498
0.812399,0.844627
0.521799,0.880265
0.408408,0.307515
0.662209,0.439951
0.128627,0.0127651
0.0432385,0.6322
0.610498,0.0788246
0.578918,0.387167
0.635038,0.342364
0.534961,0.0173026
0.332564,0.443607
0.658799,0.570134
0.378274,0.252377
0.124962,0.228238
0.0736866,0.322753
0.977736,0.886086
0.16738,0.499535
0.766351,0.575787
0.80705,0.42856
0.0157379,0.935678
0.441325,0.0589765
0.567878,0.0518231
0.137801,0.146795
0.438991,0.772839
0.489159,0.973951
0.790142,0.821723
0.417558,0.448941
0.391858,0.795832
0.701318,0.516819
0.0240703,0.775005
0.839572,0.00180596
0.66109,0.0069521
0.501341,0.427441
0.582739,0.308391
0.856001,0.598477
0.244069,0.297326
0.657454,0.811947
0.349149,0.795255
0.958742,0.78814
0.568094,0.447901
0.762091,0.358236
0.269625,0.179649
0.807176,0.661482
0.975482,0.508494
0.178302,0.999552
0.283499,0.0178739
0.00135777,0.944589
0.024826,0.502699
0.37203,0.607565
0.81109,0.228031
0.206043,0.0551589
0.525357,0.863497
0.867105,0.874506
0.658751,0.825847
0.662646,0.226845
0.273749,0.424737
0.585081,0.543374
0.604386,0.392257
0.204856,0.579867
0.900752,0.383157
0.579419,0.18425
0.401031,0.580777
0.128839,0.425857
0.0834754,0.50087
0.0334226,0.894565
0.728901,0.239465
0.949724,0.254258
0.102962,0.81683
0.128764,0.761714
0.642677,0.79141
0.988559,0.916426
0.216146,0.57364
0.4598,0.820532
0.965898,0.664655
0.400399,0.866649
0.0478127,0.979818
0.0508997,0.448844
0.560594,0.179739
0.874701,0.64407
0.680609,0.908124
0.538635,0.40951
0.147589,0.48836
0.663768,0.250551
0.305189,0.792532
0.0122645,0.947867
0.583942,0.000823574
0.864293,0.800088
0.574464,0.324093
0.62062,0.540361
0.988748,0.0210185
0.407011,0.0365607
0.000836221,0.45791
0.485405,0.561431
0.63765,0.360105
0.2055,0.318258
0.268229,0.744135
0.727768,0.415818
0.232495,0.391536
0.666369,0.537684
0.184068,0.678633
0.485551,0.76801
0.679457,0.349844
0.568098,0.253921
0.673937,0.188718
0.794282,0.662685
0.209736,0.201293
0.699245,0.210572
0.659203,0.18465
0.772003,0.296853
0.544755,0.977503
0.615111,0.812984
0.721639,0.34288
0.228802,0.954134
0.734416,0.895171
0.491818,0.918484
0.573805,0.977369
0.686494,0.253262
0.327213,0.254592
0.507183,0.00114958
0.44331,0.301465
0.663834,0.653046
0.502758,0.36308
0.863619,0.161961
0.54773,0.635622
0.458814,0.0924851
0.613125,0.0739249
0.905469,0.334764
0.416804,0.134272
0.288897,0.15122
0.029443,0.780715
0.0697043,0.603248
0.758084,0.756198
0.856509,0.0852974
0.0107906,0.363692
0.086447,0.4541
0.665157,0.750281
0.107147,0.167914
0.113361,0.970765
0.329875,0.661091
0.606387,0.788689
0.753576,0.219512
0.862614,0.659045
0.554275,0.279418
0.793317,0.843172
0.430639,0.82276
0.623888,0.500343
0.426008,0.381972
0.256541,0.282517
0.46727,0.267332
0.646209,0.553717
0.721433,0.311366
0.303998,0.828579
0.47928,0.417359
0.799344,0.809156
0.0784495,0.405731
0.597845,0.832025
0.625242,0.460459
0.49107,0.179518
0.739877,0.284387
0.0226902,0.170516
0.107147,0.646578
0.670859,0.533155
0.0285503,0.927401
0.815672,0.49582
0.194733,0.461881
0.0495367,0.916165
0.773247,0.353535
0.744744,0.252527
0.770894,0.544088
0.061683,0.849343
0.949819,0.659528
0.681368,0.575062
0.119987,0.172438
0.754579,0.859864
0.456825,0.77727
0.0303806,0.563972
0.423848,0.70124
0.097127,0.452398
0.62864,0.912799
0.948218,0.823373
0.37468,0.997755
0.739538,0.147927
0.351289,0.484282
0.400454,0.122183
0.0283708,0.462137
0.971526,0.97819
0.121665,0.652894
0.553252,0.241652
0.825332,0.307831
0.101516,0.282158
0.0851011,0.131897
0.84613,0.508949
0.833136,0.943257
0.961347,0.461777
0.856056,0.909565
0.28515,0.230735
0.90732,0.0246881
0.378662,0.258609
0.508971,0.779116
0.380792,0.537341
0.241253,0.352318
0.515531,0.362918
0.00521213,0.0687834
0.604569,0.830544
0.376615,0.706086
0.112702,0.461716
0.837982,0.958832
0.970665,0.671119
0.902089,0.932011
0.132896,0.758144
0.841577,0.418045
0.98888,0.748896
0.442734,0.367542
0.00750563,0.951704
0.146658,0.388298
0.489045,0.387911
0.740616,0.00457691
0.750828,0.745828
0.0733603,0.355398
0.576373,0.449975
0.0614835,0.689074
0.911691,0.899466
0.647906,0.882355
0.570584,0.549995
0.814367,0.70348
0.308139,0.655943
0.121525,0.297019
0.40484,0.564259
0.664561,0.412345
0.515963,0.811219
0.800643,0.00500848
0.199129,0.541259
0.00958539,0.949958
0.287087,0.0829457
0.305355,0.86346
0.532921,0.366839
0.552534,0.444611
0.266305,0.20044
0.326967,0.836889
0.750435,0.141334
0.540369,0.0585744
0.797277,0.661895
0.355593,0.202117
0.226153,0.0201542
0.614462,0.742116
0.831373,0.415105
0.747125,0.030502
0.956364,0.75671
0.98046,0.243452
0.839656,0.285815
0.106912,0.372577
0.652654,0.659446
0.817188,0.918959
0.859886,0.144155
0.755848,0.610322
0.285488,0.296217
0.668896,0.0827654
0.958111,0.0244895
0.284882,0.184265
0.0446437,0.899344
0.926381,0.876016
0.314449,0.673506
0.906518,0.270814
0.430217,0.886978
0.514265,0.269873
0.172793,0.621177
0.642449,0.825447
0.280623,0.459637
0.744406,0.140509
0.603792,0.500254
0.750831,0.889281
0.796471,0.419727
0.972046,0.754582
0.444217,0.256928
0.938847,0.48886
0.156272,0.865229
0.364877,0.470721
0.538735,0.271395
0.741535,0.968952
0.158374,0.2558
0.238824,0.331167
0.876977,0.881273
0.156614,0.1576
0.340911,0.90102
0.298109,0.944703
0.401274,0.0489404
0.833983,0.197745
0.468668,0.806029
0.952328,0.912884
0.0629572,0.891175
0.401745,0.219229
0.756404,0.766622
0.68995,0.295139
0.0380172,0.431485
0.26409,0.196391
0.687285,0.502914
0.527557,0.564262
0.384187,0.684172
0.721862,0.725098
0.585192,0.0199716
0.669801,0.986466
0.068912,0.503784
0.184211,0.53758
0.309813,0.136539
0.450464,0.37277
0.0277141,0.852209
0.592,0.784118
0.618831,0.28195
0.0792562,0.656848
0.713435,0.343346
0.853239,0.400721
0.84626,0.380796
0.964983,0.230448
0.0649679,0.686845
0.955546,0.65016
0.706817,0.625346
0.636626,0.775729
0.12913,0.820837
0.313308,0.438944
0.957376,0.763773
0.811714,0.98509
0.615982,0.403714
0.769208,0.234812
0.685664,0.848464
0.89166,0.399099
0.191811,0.744899
0.79982,0.0380708
0.125695,0.764803
0.268519,0.190663
0.451648,0.224064
0.840823,0.158465
0.849411,0.477449
0.934193,0.978541
0.298286,0.247502
0.417485,0.255663
0.0112744,0.229199
0.240753,0.627256
0.632913,0.00996149
0.862068,0.318577
0.858426,0.753729
0.717676,0.0502364
0.498628,0.517496
0.0883072,0.624323
0.282298,0.356826
0.814987,0.733946
0.58089,0.65581
0.892411,0.430301
0.133259,0.826604
0.408842,0.431545
0.074106,0.826327
0.687208,0.0853804
0.0555257,0.927961
0.712636,0.688438
0.937923,0.574705
0.00701513,0.796349
0.328433,0.724691
0.846585,0.827061
0.242187,0.934892
0.451385,0.524485
0.291718,0.266371
0.258431,0.872608
0.922181,0.150842
0.302909,0.0554402
0.977446,0.711751
0.486985,0.0515525
0.538078,0.174194
0.136933,0.593603
0.102155,0.849569
0.282042,0.0400777
0.424274,0.289057
0.836426,0.752707
0.0137478,0.683011
0.579769,0.255935
0.617904,0.0311535
0.78042,0.909622
0.297525,0.0388513
0.78223,0.219706
